elements_per_query,time execution,size_intersection
4,13691.6,122182
4,1883.1,5598
5,4379,8589
5,2714.1,4071
2,20731.1,633784
3,1644.3,10115
2,1579.2,8866
4,1938.3,3505
3,20997.5,354326
5,383.2,61
5,9431.6,67822
6,1586.7,686
2,965.1,13094
2,3198.9,28457
4,10860.7,88411
3,842.2,1439
3,2918.5,9285
2,603.8,1369
3,2991.5,30261
4,2697,5614
5,5350.7,14955
4,1904.5,5116
2,357.6,1718
5,1681.7,1840
5,592.4,82
2,1898.2,20361
4,2279,5298
3,323.5,403
4,371.5,215
2,153.9,144
4,3713.9,11023
2,315.2,316
4,433.4,131
4,5604.9,39542
3,273.5,220
4,1220.4,1781
5,1251.5,1146
3,1995.9,6685
3,517.5,503
4,2041.2,2691
4,1491.4,2176
2,417.7,1626
3,1989.8,6082
3,434.1,337
2,1092.5,26622
4,2031.6,3663
4,513.2,85
3,896.2,1017
5,12203.5,75264
3,984.3,858
3,395.3,793
4,1179.5,855
4,1023.5,936
5,2150.9,8606
4,364,446
4,708.6,1055
4,5012.6,21169
5,728.7,418
5,244.5,35
4,1009.4,2420
3,158.8,13
3,1647.6,6587
2,1319.1,9346
5,1647,1478
4,676.2,865
3,16730.1,248618
4,576,1064
5,3410.2,7566
2,140,29
3,966.6,1735
4,3019.7,9160
3,933.6,1701
3,6145.8,46192
4,1825.8,6684
3,600.3,1668
5,1730.9,3856
3,365.2,123
6,266.9,21
6,1372.7,2167
2,339.5,893
2,345.4,709
4,1182.2,1180
3,609.6,491
3,145,51
3,297,316
3,2087.2,13144
4,1407.4,2604
3,431.5,295
4,13640,119846
3,262.1,174
5,509.1,108
4,6620.2,55058
3,3816.2,16490
4,565.1,204
2,2172.9,26939
4,2693.6,4468
5,2208.3,1670
3,3799.7,25686
4,9347,57863
5,411.3,242
4,1014.9,1843
6,471.6,369
3,4274.5,33287
5,892.1,492
6,6814.2,13848
3,230.8,58
4,193.5,19
3,312.9,334
3,194,106
3,1903.4,8759
4,2616.9,8721
4,504.1,51
4,3316.1,6290
3,3334.5,31819
6,778.2,391
2,313.3,304
8,310.8,40
2,202.9,329
5,154.7,15
5,5329.2,30737
5,1549.7,2560
3,1646.2,4137
6,3443.5,5693
4,9876.9,268298
4,5571.5,26927
3,4063.6,36177
7,400.7,8
4,6733,47416
4,1567.1,3302
7,1407.8,739
4,1442.5,5775
2,525.6,1732
5,318.9,94
2,3255.9,68385
3,1596.7,4884
2,1635.2,12300
4,183.7,17
3,9381.7,134424
2,3067.1,45304
3,600.5,2674
2,286.3,1506
4,1414.1,8305
4,493.4,753
4,740.8,861
4,255.5,22
5,1692.8,1997
6,1729.5,961
3,306.2,97
3,411.9,1954
4,446.5,352
3,631.3,2225
3,1403.5,1982
3,635.9,1297
4,2435.2,7791
5,557.7,90
2,265.6,574
3,784.2,1555
4,4990.3,21022
3,420,354
4,953.7,1251
2,2575.9,27720
5,2898.6,18482
2,2398.5,31485
4,1554.6,2325
5,1297.4,863
4,2184.5,2764
3,3174.1,30027
4,3609.1,21676
2,521.6,1907
3,205.5,256
4,5649.9,23194
4,772.8,486
3,508.8,235
5,6046.3,14852
3,938.6,4344
3,286.3,633
4,299,90
3,594.5,3455
4,3349.4,10986
4,1521.1,2382
4,1685.2,3406
3,3368.6,21736
4,270.6,216
3,722.9,1910
3,811.6,5461
4,2375,7789
3,377.5,857
6,593.9,76
4,11021.7,90485
3,1717.1,5913
4,1226.7,781
3,668.5,1255
4,4075.1,24027
5,1881.9,1881
3,328.8,68
2,683.3,5579
3,628.9,1904
4,849.4,1200
3,260.8,123
4,762.5,776
2,321.5,979
4,421.7,200
3,659.7,1378
2,5991.2,83222
4,835.8,665
5,3661,9161
4,4040.6,10088
4,688.4,449
3,335.2,84
5,424.7,113
3,326.8,209
4,792.9,150
3,4175.6,31262
2,549.7,2281
2,2340.8,33769
3,415.2,424
3,2163.4,11129
2,5556.1,210750
3,1113.9,8549
4,230.1,83
4,1253.6,3031
3,888.3,1917
4,1580.4,3983
6,529.2,321
5,991.1,1417
2,1583.6,15617
3,258.3,172
5,7044.6,65405
3,1425.4,2696
2,927.2,6082
2,831.5,3571
3,1155.2,4415
3,435.5,341
3,431.9,1950
2,1759.7,11905
3,5158.6,35467
4,1227.7,4066
3,742.2,4315
3,673.1,821
3,6000.4,47755
2,1217.2,9015
3,533.2,586
5,1927.1,1631
5,462.7,56
5,592.2,1396
3,192.4,366
5,1835.6,2394
3,4951.4,29170
5,249.2,16
3,784.1,2080
3,690.6,3688
4,4135.5,11084
3,862.4,2876
5,772.8,599
6,4145.6,5424
4,2190.6,4187
