elements_per_query,time execution,size_intersection
4,7967.1,122182
4,1090.7,5598
5,2302.8,8589
5,1474.9,4071
2,13721.2,633784
3,1066.2,10115
2,1128.5,8866
4,1039.4,3505
3,13809.7,354326
5,575.8,61
5,5299.9,67822
6,996.8,686
2,833.4,13094
2,2283.6,28457
4,6282,88411
3,527.6,1439
3,1784.5,9285
2,448.2,1369
3,1934.4,30261
4,1525.6,5614
5,2815.4,14955
4,1074.1,5116
2,274,1718
5,949.4,1840
5,378.6,82
2,1385.6,20361
4,1433.5,5298
3,307.5,403
4,286.3,215
2,323.5,144
4,2135.2,11023
2,245.6,316
4,286.9,131
4,3353.3,39542
3,217,220
4,705.9,1781
5,733,1146
3,1293.1,6685
3,287.4,503
4,1148.9,2691
4,870.4,2176
2,322,1626
3,1306.8,6082
3,309.2,337
2,800.6,26622
4,1160.9,3663
4,269.6,85
3,592.4,1017
5,6828.9,75264
3,628,858
3,291.5,793
4,677.7,855
4,598,936
5,1125.4,8606
4,271.1,446
4,444.2,1055
4,2841.6,21169
5,437.1,418
5,176.9,35
4,628.3,2420
3,127.1,13
3,1067.1,6587
2,925,9346
5,936.6,1478
4,415,865
3,10920.1,248618
4,373.1,1064
5,1880.3,7566
2,131.6,29
3,648,1735
4,1794.8,9160
3,615.5,1701
3,3847.4,46192
4,1035.7,6684
3,427.8,1668
5,974.6,3856
3,266.5,123
6,214.3,21
6,719.2,2167
2,259.6,893
2,270.5,709
4,701.6,1180
3,418.2,491
3,133.4,51
3,220.2,316
3,1318.8,13144
4,809.4,2604
3,292.7,295
4,7892.8,119846
3,205.6,174
5,330.1,108
4,3905.9,55058
3,2520.4,16490
4,357,204
2,1553.7,26939
4,1522,4468
5,1225.2,1670
3,2376.4,25686
4,5242,57863
5,302.9,242
4,557.8,1843
6,288.5,369
3,2728.9,33287
5,512.5,492
6,3669.2,13848
3,184.6,58
4,147.7,19
3,234,334
3,164,106
3,1214.1,8759
4,1546.8,8721
4,331.5,51
4,1943.2,6290
3,2078.4,31819
6,460.6,391
2,262.1,304
8,262.7,40
2,167.6,329
5,129.6,15
5,2824.6,30737
5,818.2,2560
3,1064,4137
6,1837.9,5693
4,6882.3,268298
4,3208.8,26927
3,2570.4,36177
7,452.6,8
4,4252.8,47416
4,916.7,3302
7,768.3,739
4,914.6,5775
