elements_per_query,time execution,size_intersection
4,9247.9,122182
4,2592.1,5598
5,2838.4,8589
5,1843.2,4071
2,13316.5,633784
3,1149.1,10115
2,1195.1,8866
4,1122.3,3505
3,14163.1,354326
5,321.7,61
5,5600.2,67822
6,980.3,686
2,765.9,13094
2,2394.8,28457
4,6734.4,88411
3,552.4,1439
3,1951.8,9285
2,458.2,1369
3,2030.4,30261
4,1634,5614
5,3089.3,14955
4,1183,5116
2,282.7,1718
5,1025.5,1840
5,390.7,82
2,1406.4,20361
4,1408.3,5298
3,263.2,403
4,297.5,215
2,145.5,144
4,2293.1,11023
2,259.6,316
4,312.2,131
4,3435.8,39542
3,225.8,220
4,784.6,1781
5,791.7,1146
3,1416.1,6685
3,304.3,503
4,1243.3,2691
4,931.3,2176
2,334,1626
3,1421.4,6082
3,320.4,337
2,801.1,26622
4,1282.4,3663
4,278.1,85
3,620.9,1017
5,7307.2,75264
3,705.2,858
3,307.6,793
4,773,855
4,658.1,936
5,1228.8,8606
4,265,446
4,468.2,1055
4,3099.2,21169
5,481.4,418
5,202.3,35
4,657.8,2420
3,135.2,13
3,1180.4,6587
2,968.5,9346
5,1002.2,1478
4,437.7,865
3,11716.7,248618
4,402.9,1064
5,2001.1,7566
2,135.2,29
3,709.1,1735
4,1997.7,9160
3,754,1701
3,4233.1,46192
4,1152.3,6684
3,431,1668
5,1070.4,3856
3,299,123
6,212.7,21
6,802.6,2167
2,298.9,893
2,303.5,709
4,780.9,1180
3,456.3,491
3,139.9,51
3,242,316
3,1406.1,13144
4,865.4,2604
3,318.9,295
4,8294.1,119846
3,205.8,174
5,358.4,108
4,3635.8,55058
3,2579.1,16490
4,376,204
2,1614.1,26939
4,1670.8,4468
5,1351.7,1670
3,2518.3,25686
4,5699.7,57863
5,307.4,242
4,603.8,1843
6,280.2,369
3,2894.7,33287
5,563.9,492
6,3962.8,13848
3,184.6,58
4,145.5,19
3,233.8,334
3,162.9,106
3,1287.9,8759
4,1582.9,8721
4,330.7,51
4,2014.5,6290
3,2200.5,31819
6,485.3,391
2,255.3,304
8,246.8,40
2,173.1,329
5,131.1,15
5,3031,30737
5,885.3,2560
3,1141.1,4137
6,2033.1,5693
4,2959,268298
4,3442.4,26927
3,2667.7,36177
7,263,8
4,4102.1,47416
4,975.8,3302
7,851.2,739
4,882.1,5775
2,393.9,1732
5,238.6,94
2,2270.9,68385
3,1093.5,4884
2,1201.3,12300
4,155.5,17
3,6115.2,134424
2,2241.8,45304
3,424.2,2674
2,259.2,1506
4,808.5,8305
4,336.7,753
4,474.8,861
4,198.2,22
5,973.8,1997
6,1046.4,961
3,246,97
3,292.7,1954
4,299.5,352
3,450.8,2225
3,979.7,1982
3,452.3,1297
4,1471.1,7791
5,368,90
2,234.6,574
3,528.4,1555
4,3073.3,21022
3,313.8,354
4,590.9,1251
2,1825.2,27720
5,1682.8,18482
2,1733.8,31485
4,958,2325
5,800.2,863
4,1342.2,2764
3,2074,30027
4,2149.7,21676
2,412.1,1907
3,179.5,256
4,3388.6,23194
4,518.2,486
3,370.1,235
5,3499.8,14852
3,675.1,4344
3,233.6,633
4,242.4,90
3,432.9,3455
4,2044.4,10986
4,934.3,2382
4,1048.3,3406
3,2302.8,21736
4,211.2,216
3,513.3,1910
3,551.9,5461
4,1398.8,7789
3,282.2,857
6,407.6,76
4,6895.5,90485
3,1162.7,5913
4,767.2,781
3,471.6,1255
4,2488.6,24027
5,1172.2,1881
3,305.9,68
2,569.9,5579
3,489.9,1904
4,562.2,1200
3,230.1,123
4,513.5,776
2,292.8,979
4,430.1,200
3,3052.6,1378
2,6183.6,83222
4,698.8,665
5,2424.7,9161
4,2650.6,10088
4,489.7,449
3,242.9,84
5,242.3,113
3,244.1,209
4,545.7,150
3,3014.8,31262
2,451.7,2281
2,1799.3,33769
3,330.1,424
3,1552.9,11129
2,3495.4,210750
3,796.1,8549
4,200.5,83
4,815.2,3031
3,607.6,1917
4,957,3983
6,349,321
5,622.7,1417
2,1166.1,15617
3,224.5,172
5,4124.7,65405
3,1003.3,2696
2,743.5,6082
2,614.5,3571
3,800.9,4415
3,324.7,341
3,329.2,1950
2,1381.2,11905
3,3498,35467
4,785.7,4066
3,520.5,4315
3,479.1,821
3,4018.2,47755
2,927.9,9015
3,417.4,586
5,1184.4,1631
5,326.1,56
5,421.2,1396
3,170.5,366
5,1127,2394
3,3319,29170
5,359.5,16
3,545.3,2080
3,492.7,3688
4,2521.9,11084
3,604.2,2876
5,487.1,599
6,2468.4,5424
4,1365,4187
3,606.3,2264
2,842.9,7515
3,4261.5,242829
5,446.4,1238
3,521.3,909
3,361.4,441
4,415.9,639
4,289.4,554
5,3677.9,26614
4,480,1213
3,1031.7,10073
5,198.5,69
3,449.2,4029
3,1079.8,3757
3,330,539
5,516,386
5,287.9,174
2,1587.6,30251
3,1226.2,7968
3,223.6,364
3,1342.9,10601
5,2488.9,8294
5,403.3,304
2,214.4,1170
5,545.3,533
5,261.7,32
3,151,116
3,527.9,1791
5,192.8,6
5,199.1,4
4,3698,5332
5,1031.4,2858
3,193.3,18
3,14035.8,582266
2,348.9,3962
3,2275.8,45443
2,281.3,4899
5,1240.6,2236
2,677.1,2618
4,136,2
3,5881.5,115985
4,1609.2,5605
5,243.1,58
3,270,246
3,260.9,245
2,3368.1,88536
5,476.7,740
3,691.9,6939
3,535.5,2024
2,31093.4,3644511
3,528.3,1853
4,423.9,768
4,296.1,124
4,1421.6,7929
